City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
123,Hithadhoo,MV,78.37,overcast clouds,-0.6,73.0833,Scoop Guest House
124,Labuan,MY,77.36,light rain,5.2767,115.2417,Tiara Labuan Hotel
125,Faanui,PF,75.99,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
126,Saint Anthony,US,81.77,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
129,Slave Lake,CA,62.58,clear sky,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
130,Sosnogorsk,RU,77.04,clear sky,63.6023,53.8817,Жемчужина
131,Kailua,US,78.78,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
132,Arrifes,PT,68.25,broken clouds,37.7667,-25.7,Hotel Ponta Delgada
133,Bonfim,BR,85.96,scattered clouds,3.0833,-59.95,
135,Cananea,MX,74.14,overcast clouds,30.95,-110.3,Casas Montoya
136,Castro,BR,65.82,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
137,Betioky,MG,75.36,overcast clouds,-23.7167,44.3833,Bungalows Acacias Hotel
139,Pemangkat,ID,79.83,overcast clouds,1.1667,108.9667,Ramah Kost KITA
143,Ugoofaaru,MV,81.61,overcast clouds,5.6667,73.0,Ungoofaaru Inn
144,Ponta Do Sol,PT,79.0,scattered clouds,32.6667,-17.1,Hotel do Campo
146,Kahului,US,77.02,clear sky,20.8947,-156.47,Maui Seaside Hotel
148,Tura,IN,77.76,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
151,Bethel,US,81.66,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
152,Saint George,US,93.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
153,Kavaratti,IN,82.38,overcast clouds,10.5669,72.642,Green leaf
155,Bukama,CD,88.45,broken clouds,-9.2,25.85,
156,Buritis,BR,83.25,few clouds,-15.6178,-46.4233,Hotel Rainha do Vale
157,Estelle,US,88.0,broken clouds,29.8458,-90.1067,Ohio
158,Uruzgan,AF,89.46,clear sky,32.8333,66.0,
159,Unai,BR,83.41,scattered clouds,-16.3575,-46.9061,Hotel Regente
161,Saharsa,IN,92.35,broken clouds,25.8833,86.6,SPOT ON 61627 Golden Plaza SPOT
162,Red Bluff,US,77.72,clear sky,40.1785,-122.2358,Hampton Inn & Suites Red Bluff
163,Kajiado,KE,65.1,overcast clouds,-1.8524,36.7768,Masai Lodge
165,Victoria,HK,88.32,overcast clouds,22.2855,114.1577,Mini Central
167,Perambalur,IN,81.01,overcast clouds,11.2333,78.8833,Nataraja Lodge
168,Berdigestyakh,RU,70.29,broken clouds,62.0989,126.6992,
169,Hirara,JP,84.72,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
170,Markova,UA,63.88,overcast clouds,48.6758,24.4138,Vas.VOM
176,Muli,MV,80.78,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
177,Verkhnevilyuysk,RU,62.17,overcast clouds,63.4453,120.3167,Gostinitsa Mila
178,Belmonte,BR,79.29,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
180,The Valley,AI,86.83,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
181,Matara,LK,79.65,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
183,Takoradi,GH,77.67,broken clouds,4.8845,-1.7554,Raybow International Hotel
184,Kinango,KE,75.85,scattered clouds,-4.1372,39.3153,Legacy Hotel
185,Hienghene,NC,68.23,broken clouds,-20.6833,164.9333,Ka Waboana Lodge
